:UserID,:TweetID,:TYPE
17093617,1,POSTED
116952434,2,POSTED
7861312,3,POSTED
2367911,4,POSTED
88323281,5,POSTED
173732041,6,POSTED
93905958,7,POSTED
972651,8,POSTED
100318079,9,POSTED
18927441,10,POSTED
284422688,11,POSTED
204317520,12,POSTED
972651,13,POSTED
16464746,14,POSTED
79797834,15,POSTED
16475194,16,POSTED
16464746,17,POSTED
15853668,18,POSTED
88323281,19,POSTED
47787563,20,POSTED
26281970,21,POSTED
63485337,22,POSTED
117674417,23,POSTED
40981798,24,POSTED
254839786,25,POSTED
18742444,26,POSTED
22462180,27,POSTED
82030021,28,POSTED
131601987,29,POSTED
19040580,30,POSTED
69592091,31,POSTED
48485771,32,POSTED
40981798,33,POSTED
14230524,34,POSTED
259842341,35,POSTED
8088112,36,POSTED
259842341,37,POSTED
314316607,38,POSTED
63485337,39,POSTED
16098603,40,POSTED
280935165,41,POSTED
16098603,42,POSTED
43003845,43,POSTED
26929220,44,POSTED
284422688,45,POSTED
238260874,46,POSTED
1183041,47,POSTED
24585498,48,POSTED
22784458,49,POSTED
26929220,50,POSTED
59804598,51,POSTED
83943787,52,POSTED
153226312,53,POSTED
47787563,54,POSTED
115485051,55,POSTED
83943787,56,POSTED
22679419,57,POSTED
19358562,58,POSTED
93905958,59,POSTED
133055665,60,POSTED
88323281,61,POSTED
63485337,62,POSTED
783214,63,POSTED
259842341,64,POSTED
16464746,65,POSTED
18996905,66,POSTED
83943787,67,POSTED
19493072,68,POSTED
116036694,69,POSTED
133055665,70,POSTED
314316607,71,POSTED
88323281,72,POSTED
11348282,73,POSTED
26281970,74,POSTED
280935165,75,POSTED
43003845,76,POSTED
116952434,77,POSTED
15913,78,POSTED
16464746,79,POSTED
19802879,80,POSTED
276706356,81,POSTED
428333,82,POSTED
19493072,83,POSTED
783214,84,POSTED
153226312,85,POSTED
8088112,86,POSTED
47787563,87,POSTED
115485051,88,POSTED
151338729,89,POSTED
18996905,90,POSTED
115485051,91,POSTED
18776017,92,POSTED
22462180,93,POSTED
1183041,94,POSTED
254839786,95,POSTED
254839786,96,POSTED
116036694,97,POSTED
27633075,98,POSTED
18996905,99,POSTED
7860742,100,POSTED
63485337,101,POSTED
17868918,102,POSTED
18776017,103,POSTED
10350,104,POSTED
17093617,105,POSTED
204317520,106,POSTED
229039814,107,POSTED
93905958,108,POSTED
19358562,109,POSTED
238260874,110,POSTED
65913144,111,POSTED
22679419,112,POSTED
34068984,113,POSTED
18927441,114,POSTED
26929220,115,POSTED
15853668,116,POSTED
17224642,117,POSTED
14654965,118,POSTED
133055665,119,POSTED
19358562,120,POSTED
18742444,121,POSTED
7860742,122,POSTED
270449528,123,POSTED
783214,124,POSTED
90420314,125,POSTED
972651,126,POSTED
1183041,127,POSTED
18927441,128,POSTED
15439395,129,POSTED
18927441,130,POSTED
88323281,131,POSTED
31331740,132,POSTED
27855118,133,POSTED
259842341,134,POSTED
27855118,135,POSTED
21681252,136,POSTED
314316607,137,POSTED
972651,138,POSTED
280935165,139,POSTED
27855118,140,POSTED
14230524,141,POSTED
133055665,142,POSTED
153226312,143,POSTED
270449528,144,POSTED
263838766,145,POSTED
14922225,146,POSTED
18742444,147,POSTED
16475194,148,POSTED
270449528,149,POSTED
26281970,150,POSTED
46423291,151,POSTED
31331740,152,POSTED
187773078,153,POSTED
18776017,154,POSTED
131601987,155,POSTED
173732041,156,POSTED
7872262,157,POSTED
88323281,158,POSTED
21681252,159,POSTED
115485051,160,POSTED
204140367,161,POSTED
65913144,162,POSTED
204140367,163,POSTED
8088112,164,POSTED
7872262,165,POSTED
131601987,166,POSTED
47787563,167,POSTED
65913144,168,POSTED
19040580,169,POSTED
21681252,170,POSTED
131601987,171,POSTED
428333,172,POSTED
30313925,173,POSTED
18776017,174,POSTED
62581962,175,POSTED
280935165,176,POSTED
27633075,177,POSTED
40981798,178,POSTED
153226312,179,POSTED
63485337,180,POSTED
82030021,181,POSTED
133055665,182,POSTED
27855118,183,POSTED
16464746,184,POSTED
153226312,185,POSTED
19493072,186,POSTED
15439395,187,POSTED
24742040,188,POSTED
15853668,189,POSTED
59804598,190,POSTED
15853668,191,POSTED
5442012,192,POSTED
47161442,193,POSTED
17224642,194,POSTED
62581962,195,POSTED
7860742,196,POSTED
15853668,197,POSTED
117674417,198,POSTED
153226312,199,POSTED
15234657,200,POSTED
19040580,201,POSTED
34428380,202,POSTED
10671602,203,POSTED
254839786,204,POSTED
79797834,205,POSTED
8088112,206,POSTED
14922225,207,POSTED
229039814,208,POSTED
93905958,209,POSTED
16475194,210,POSTED
133055665,211,POSTED
238260874,212,POSTED
314316607,213,POSTED
24585498,214,POSTED
131601987,215,POSTED
27633075,216,POSTED
15913,217,POSTED
15913,218,POSTED
309366491,219,POSTED
8088112,220,POSTED
88323281,221,POSTED
133055665,222,POSTED
62581962,223,POSTED
18776017,224,POSTED
149538028,225,POSTED
263838766,226,POSTED
48485771,227,POSTED
2367911,228,POSTED
131601987,229,POSTED
115485051,230,POSTED
15439395,231,POSTED
27633075,232,POSTED
309366491,233,POSTED
115485051,234,POSTED
48485771,235,POSTED
83943787,236,POSTED
100318079,237,POSTED
30313925,238,POSTED
254839786,239,POSTED
131601987,240,POSTED
18776017,241,POSTED
88323281,242,POSTED
2367911,243,POSTED
79797834,244,POSTED
254839786,245,POSTED
22462180,246,POSTED
7861312,247,POSTED
284422688,248,POSTED
259842341,249,POSTED
34068984,250,POSTED
19493072,251,POSTED
19802879,252,POSTED
813286,253,POSTED
187773078,254,POSTED
813286,255,POSTED
47161442,256,POSTED
8088112,257,POSTED
116036694,258,POSTED
14230524,259,POSTED
18742444,260,POSTED
314316607,261,POSTED
18996905,262,POSTED
121533789,263,POSTED
19493072,264,POSTED
18776017,265,POSTED
18996905,266,POSTED
2367911,267,POSTED
14075928,268,POSTED
7860742,269,POSTED
48485771,270,POSTED
131601987,271,POSTED
7861312,272,POSTED
48485771,273,POSTED
3359851,274,POSTED
79797834,275,POSTED
284422688,276,POSTED
90420314,277,POSTED
79797834,278,POSTED
18776017,279,POSTED
82030021,280,POSTED
82030021,281,POSTED
15234657,282,POSTED
149538028,283,POSTED
24585498,284,POSTED
17093617,285,POSTED
121533789,286,POSTED
11348282,287,POSTED
7861312,288,POSTED
31331740,289,POSTED
121533789,290,POSTED
16475194,291,POSTED
63485337,292,POSTED
16303106,293,POSTED
15913,294,POSTED
195475105,295,POSTED
17093617,296,POSTED
19493072,297,POSTED
10350,298,POSTED
17868918,299,POSTED
14075928,300,POSTED
813286,301,POSTED
43003845,302,POSTED
15853668,303,POSTED
34428380,304,POSTED
62581962,305,POSTED
22784458,306,POSTED
24742040,307,POSTED
47161442,308,POSTED
69592091,309,POSTED
21681252,310,POSTED
314316607,311,POSTED
116952434,312,POSTED
813286,313,POSTED
280935165,314,POSTED
259842341,315,POSTED
117674417,316,POSTED
187773078,317,POSTED
972651,318,POSTED
62581962,319,POSTED
88323281,320,POSTED
314316607,321,POSTED
7860742,322,POSTED
18776017,323,POSTED
280935165,324,POSTED
195475105,325,POSTED
18742444,326,POSTED
5442012,327,POSTED
31353077,328,POSTED
59804598,329,POSTED
43003845,330,POSTED
100318079,331,POSTED
26929220,332,POSTED
5442012,333,POSTED
263838766,334,POSTED
14922225,335,POSTED
16464746,336,POSTED
59804598,337,POSTED
280935165,338,POSTED
153226312,339,POSTED
24742040,340,POSTED
31353077,341,POSTED
18776017,342,POSTED
22679419,343,POSTED
18742444,344,POSTED
90420314,345,POSTED
972651,346,POSTED
63485337,347,POSTED
15853668,348,POSTED
15234657,349,POSTED
133055665,350,POSTED
259842341,351,POSTED
153226312,352,POSTED
90420314,353,POSTED
22679419,354,POSTED
7860742,355,POSTED
19040580,356,POSTED
116952434,357,POSTED
22462180,358,POSTED
3359851,359,POSTED
79797834,360,POSTED
972651,361,POSTED
7860742,362,POSTED
187773078,363,POSTED
783214,364,POSTED
14922225,365,POSTED
309366491,366,POSTED
116952434,367,POSTED
27855118,368,POSTED
204140367,369,POSTED
16475194,370,POSTED
187773078,371,POSTED
82030021,372,POSTED
229039814,373,POSTED
16464746,374,POSTED
254839786,375,POSTED
18742444,376,POSTED
229039814,377,POSTED
16464746,378,POSTED
16303106,379,POSTED
7872262,380,POSTED
40981798,381,POSTED
34068984,382,POSTED
69592091,383,POSTED
100318079,384,POSTED
2367911,385,POSTED
7872262,386,POSTED
19725644,387,POSTED
15913,388,POSTED
27633075,389,POSTED
151338729,390,POSTED
11348282,391,POSTED
7861312,392,POSTED
34428380,393,POSTED
7861312,394,POSTED
17868918,395,POSTED
204317520,396,POSTED
65913144,397,POSTED
100318079,398,POSTED
27633075,399,POSTED
284422688,400,POSTED
19802879,401,POSTED
82030021,402,POSTED
17093617,403,POSTED
149538028,404,POSTED
40981798,405,POSTED
14230524,406,POSTED
115485051,407,POSTED
19802879,408,POSTED
26929220,409,POSTED
259842341,410,POSTED
16098603,411,POSTED
17093617,412,POSTED
26929220,413,POSTED
22679419,414,POSTED
131601987,415,POSTED
31353077,416,POSTED
19493072,417,POSTED
15913,418,POSTED
19040580,419,POSTED
88323281,420,POSTED
65913144,421,POSTED
204140367,422,POSTED
131601987,423,POSTED
